Ports,Region,Cntr Cycle Name,Cntr No,Cntr Size,cntr_trxn_id,Dpd Dpe,In Time,Is Empty,Max,orgname,Out Time,Transportmode
"ICTT, Kochi",Southern,IMPORT,ZMOU8861417,40,,N,10/8/2020 14:58,Y,35167071,"International Container Transhipment Terminal, Kochi",11/8/2020 15:38,TRUCK
JNPT,Western,EXPORT,ZMOU8861546,40,,Y,3/8/2020 22:14,N,34990648,Jawaharlal Nehru Port Container Terminal (JNPCT),8/8/2020 20:52,TRUCK
JNPT,Western,EXPORT,ZMOU8861700,40,,Y,15/8/2020 02:11,N,35307743,Gateway Terminals India (GTI),19/8/2020 05:09,TRUCK
JNPT,Western,IMPORT,ZMOU8861700,40,,,7/8/2020 21:27,Y,35090998,Jawaharlal Nehru Port Container Terminal (JNPCT),11/8/2020 17:20,TRUCK
JNPT,Western,EXPORT,ZMOU8862183,40,,N,23/8/2020 00:50,,35247296,Nhava Sheva International Container Terminal (NSICT),23/8/2020 00:52,RAIL
"VCT, Visakhapatnam",Eastern,EXPORT,ZMOU8862394,40,,Y,20/8/2020 21:56,,35404938,Visakha Container Terminal,24/8/2020 00:29,TRUCK
JNPT,Western,IMPORT,ZMOU8862687,40,,N,26/7/2020 04:40,N,34746699,Gateway Terminals India (GTI),26/7/2020 10:08,TRUCK
APSEZ,Western,IMPORT,ZMOU8863446,40,35288630,,14/8/2020 14:08,,,Adani Mundra Container Terminal (AMCT),19/8/2020 17:18,TRUCK
"ICTT, Kochi",Southern,IMPORT,ZMOU8863533,40,,N,10/8/2020 16:27,Y,35170718,"International Container Transhipment Terminal, Kochi",11/8/2020 10:32,TRUCK
"KDS, Kolkata",Eastern,IMPORT,ZMOU8871190,40,,,18/8/2020 16:37,,35408730,"Kolkata Dock System (KDS) , Kolkata Port",22/8/2020 17:58,TRUCK
JNPT,Western,EXPORT,ZMOU8872659,40,,N,26/7/2020 01:31,,34739805,Gateway Terminals India (GTI),28/7/2020 09:56,RAIL
Chennai Port,Southern,IMPORT,ZMOU8872936,40,,N,12/8/2020 22:46,Y,35238843,Chennai Container Terminal Pvt. Ltd. (CCTL),15/8/2020 09:19,TRUCK
JNPT,Western,EXPORT,ZMOU8873341,40,,N,21/8/2020 12:38,,35489789,Nhava Sheva International Container Terminal (NSICT),21/8/2020 12:38,RAIL
APSEZ,Western,EXPORT,ZMOU8873526,40,,,18/8/2020 21:02,,35297089,Adani International Container Terminal (AICTPL),24/8/2020 02:51,TRUCK
JNPT,Western,EXPORT,ZMOU8880058,40,,N,23/8/2020 01:31,,35247297,Nhava Sheva International Container Terminal (NSICT),23/8/2020 01:32,RAIL
"KDS, Kolkata",Eastern,EXPORT,ZMOU8880382,40,,,31/7/2020 09:01,,34368650,"Kolkata Dock System (KDS) , Kolkata Port",3/8/2020 13:07,TRUCK
